Region,Latitude,Longitude,Presence,Extent,Last Reported,Origin,First Reported,Invasiveness
Benin,43960.00,2.25,Present,,Not recorded,Introduced,Not recorded,Invasive
Burkina Faso,43963.00,-166667.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Burundi,-3.50,30.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Cameroon,6.00,43963.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Comoros,-1223333.00,4444553.00,Present,,Not recorded,Introduced,Not recorded,Invasive
"Congo, Democratic Republic of the",-2.50,43974.00,Present,,Not recorded,Introduced,Not recorded,Invasive
"Congo, Republic of the",-1.00,43966.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Côte d'Ivoire,8.00,-5.50,Present,,Not recorded,,Not recorded,
Egypt,27.00,30.00,Present,,Not recorded,Introduced,Not recorded,
Ethiopia,9.00,39.50,Present,,Not recorded,Introduced,Not recorded,Invasive
Ghana,43838.00,-1.20,Present,,Not recorded,Introduced,Not recorded,Invasive
Guinea,1083333.00,-1066667.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Kenya,1.00,38.00,Present,,Not recorded,Introduced,1952,Invasive
Madagascar,-20.00,47.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Malawi,-13.50,34.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Mali,18.00,-2.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Mauritania,20.25,-10.50,Present,,Not recorded,Introduced,Not recorded,Invasive
Mauritius,-20.30,5758333.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Mozambique,-18.25,35.00,Present,Localized,Not recorded,Introduced,Not recorded,Invasive
Niger,18.00,9.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Nigeria,10.00,8.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Rwanda,-2.00,30.00,Present,Widespread,Not recorded,Introduced,Not recorded,Invasive
Senegal,43965.00,-14.25,Present,,Not recorded,Introduced,Not recorded,Invasive
Sierra Leone,43959.00,-11.50,Present,,Not recorded,Introduced,Not recorded,Invasive
South Africa,-29.00,24.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Tanzania,-6.00,35.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Togo,866667.00,108333.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Uganda,1.25,32.50,Present,,Not recorded,Introduced,Not recorded,Invasive
Bangladesh,24.00,90.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Brunei,43955.00,11466667.00,Present,,Not recorded,Introduced,Not recorded,Invasive
China,35.00,105.00,Present,,Not recorded,,Not recorded,
 - Fujian,26.25,118.00,Present,,Not recorded,,Not recorded,
 - Guangdong,43974.00,113.25,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Guangxi,24.00,109.00,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Hainan,19.25,109.75,Present,,Not recorded,,Not recorded,
 - Hunan,2766667.00,111.75,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Yunnan,25.00,101.50,Present,,Not recorded,,Not recorded,
India,22.00,79.00,Present,Localized,Not recorded,Introduced,Not recorded,Invasive
 - Andhra Pradesh,1583333.00,79.75,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Bihar,25.75,85.75,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Gujarat,23.00,71.75,Present,,Not recorded,,Not recorded,
 - Karnataka,1466667.00,7583333.00,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Kerala,1041667.00,76.50,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Madhya Pradesh,43974.00,78.50,Present,,Not recorded,,Not recorded,
 - Maharashtra,43970.00,76.00,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Tamil Nadu,11.00,7833333.00,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Uttar Pradesh,27.25,80.75,Present,,Not recorded,,Not recorded,
 - West Bengal,24.00,88.00,Present,,Not recorded,,Not recorded,
Indonesia,-5.00,120.00,Present,Localized,Not recorded,,Not recorded,
 - Irian Jaya,-5.00,138.00,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Java,-749167.00,11000444.00,Present,,Not recorded,Native,Not recorded,Invasive
 - Maluku Islands,-157634.00,12771744.00,Present,,Not recorded,Introduced,Not recorded,Invasive
 - Sulawesi,-213154.00,12028888.00,Present,,Not recorded,,Not recorded,
 - Sumatra,0.00,102.00,Present,,Not recorded,Native,Not recorded,Invasive
Israel,43982.00,34.75,Present,Transient under eradication,Not recorded,,Not recorded,
Jordan,31.00,36.00,Present,,Not recorded,Introduced,Not recorded,
Laos,18.00,105.00,Present,,Not recorded,,Not recorded,
Lebanon,3383333.00,3583333.00,Present,Few occurrences,Not recorded,,Not recorded,
Malaysia,43953.00,112.50,Present,,Not recorded,Native,Not recorded,Invasive
 - Peninsular Malaysia,4.00,102.00,Present,,Not recorded,Native,Not recorded,Invasive
 - Sarawak,43953.00,113.50,Present,,Not recorded,Native,Not recorded,Invasive
Myanmar,21.00,96.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Nepal,28.00,84.00,Present,,Not recorded,,Not recorded,
Oman,21.00,57.00,Present,,Not recorded,,Not recorded,
Pakistan,30.00,70.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Philippines,13.00,122.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Singapore,136667.00,103.80,Present,,Not recorded,Native,Not recorded,Invasive
Sri Lanka,7.75,80.75,Present,Widespread,Not recorded,Introduced,Not recorded,Invasive
Taiwan,24.00,121.00,Present,,Not recorded,Introduced,Not recorded,Invasive
Thailand,43966.00,101.00,Present,,Not recorded,Introduced,Not recorded,Invasive
